iteration,writer_exception,reader_exception,assertions_ok,save_ms,traverse_latency_ms,prims_traversed
0,,,True,54.06,80.11,25010
1,,,True,76.13,51.67,25020
2,,,True,54.87,47.22,25030
3,,,True,65.33,51.68,25040
4,,,True,82.08,54.67,25050
5,,,True,67.34,51.72,25060
6,,,True,66.24,42.11,25070
7,,,True,55.24,44.24,25080
8,,,True,50.58,38.61,25090
9,,,True,54.6,48.08,25100
10,,,True,87.58,45.99,25110
11,,,True,82.56,46.46,25120
12,,,True,61.64,97.56,25130
13,,,True,69.38,52.92,25140
14,,,True,57.91,50.46,25150
15,,,True,63.31,92.99,25160
16,,,True,62.01,49.97,25170
17,,,True,52.39,37.09,25180
18,,,True,59.41,53.83,25190
19,,,True,76.37,51.87,25200
20,,,True,41.0,47.47,25210
21,,,True,64.86,37.66,25220
22,,,True,63.87,48.34,25230
23,,,True,56.54,49.42,25240
24,,,True,65.79,34.92,25250
25,,,True,68.92,39.57,25260
26,,,True,64.0,47.37,25270
27,,,True,41.15,47.44,25280
28,,,True,69.38,49.77,25290
29,,,True,69.8,41.14,25300
30,,,True,65.73,48.81,25310
31,,,True,71.34,48.71,25320
32,,,True,57.89,32.72,25330
33,,,True,99.72,50.3,25340
34,,,True,72.34,52.92,25350
35,,,True,56.13,46.01,25360
36,,,True,49.57,49.74,25370
37,,,True,56.11,50.14,25380
38,,,True,35.41,46.5,25390
39,,,True,79.56,49.98,25400
40,,,True,59.16,53.96,25410
41,,,True,73.71,46.81,25420
42,,,True,76.46,44.99,25430
43,,,True,50.16,47.8,25440
44,,,True,78.47,53.55,25450
45,,,True,61.42,46.32,25460
46,,,True,39.58,54.31,25470
47,,,True,57.03,37.55,25480
48,,,True,69.15,37.18,25490
49,,,True,51.97,45.82,25500
50,,,True,66.17,51.42,25510
51,,,True,50.5,48.86,25520
52,,,True,60.82,95.99,25530
53,,,True,57.02,51.01,25540
54,,,True,60.48,56.49,25550
55,,,True,68.61,50.96,25560
56,,,True,82.93,54.54,25570
57,,,True,63.27,49.7,25580
58,,,True,48.28,42.71,25590
59,,,True,88.76,35.96,25600
60,,,True,73.04,51.07,25610
61,,,True,53.95,51.34,25620
62,,,True,71.82,44.75,25630
63,,,True,78.13,48.26,25640
64,,,True,70.14,36.72,25650
65,,,True,41.39,36.42,25660
66,,,True,43.89,39.39,25670
67,,,True,46.17,36.71,25680
68,,,True,50.5,35.81,25690
69,,,True,54.23,36.81,25700
70,,,True,58.18,35.07,25710
71,,,True,47.43,35.1,25720
72,,,True,51.51,35.01,25730
73,,,True,40.65,34.97,25740
74,,,True,44.23,35.42,25750
75,,,True,63.08,38.55,25760
76,,,True,64.08,35.35,25770
77,,,True,54.73,36.12,25780
78,,,True,41.72,33.93,25790
79,,,True,49.4,38.96,25800
80,,,True,36.1,33.97,25810
81,,,True,32.42,35.39,25820
82,,,True,59.13,67.32,25830
83,,,True,30.25,67.54,25840
84,,,True,40.95,35.69,25850
85,,,True,47.94,35.63,25860
86,,,True,51.92,39.43,25870
87,,,True,52.63,35.34,25880
88,,,True,42.61,35.58,25890
89,,,True,48.0,38.96,25900
90,,,True,50.78,34.27,25910
91,,,True,56.63,39.34,25920
92,,,True,44.54,37.52,25930
93,,,True,64.2,37.41,25940
